prompt,completion
Translate the following sentence from English to Haitian Creole: PizzaDAO is giving away Free Pizza at our 2nd annual GLOBAL PIZZA PARTY,Pizzadao ap bay pitza gratis nan dezyèm anivèsè Global Fèt Pitza
Translate the following sentence from English to Italian: PizzaDAO is giving away Free Pizza at our 2nd annual GLOBAL PIZZA PARTY,PizzaDAO offrirà Pizza gratis al nostro secondo PIZZA PARTY globale.
Translate the following sentence from English to Turkish: PizzaDAO is giving away Free Pizza at our 2nd annual GLOBAL PIZZA PARTY,PizzaDAO 2. yıllık GLOBAL PİZZA PARTİSİNDE Ücretsiz Pizza dağıtıyor 
"Translate the following meeting notes from English to Chinese: 
**Agenda**

1. Let’s buy the **constitution**
2. Team Updates

**Let’s buy the constitution.**

There are 23 copies of the constitution right now, 11 copies are being held in museums and there are 2 privately owned copies and 1 copy is being auctioned in December. We have a second chance at buying it and we will create a proposal to raise funds for the auction. We will adopt a privacy technique in the auction where the opponent doesn’t have an idea how much we have and use it to their advantage.

We have the option of using:

Aztec network, which is a network that helps obscure the amount in a wallet and zero suggested we use it to keep our auction funds private.

OxAA suggests we collaborate with juice box and Aztec network. We would also create a campaign for “The Legacy of ConstitutionDAO” and Matter suggests the writers team create a bounty for an article on constitutionDAO and democracy, the article has to be fresh and contain points like:

- What is ConstitutionDAO and PeopleDAO
- What is US constitution
- The momentum caused by the ConstitutionDAO
- The core team story and the legacy they live.

We would also need to find partners to get the constitution. Matter wrote a letter for our partners to sign so we know those we’re working with. AA suggests we use Ethsign so people can sign with their wallets. Zero also suggests the use of Monero or Tornado Cash to obscure our funds in case the first option fails.

- We plan to use nfts to raise the funds, the nft would be related to People, Constitution, Nicholas Cage and Avengers.
- The estimated value of the constitution is $30-20 million. We could include the people token by accepting donations in people then swap when the auction starts.
- AA suggests a rough table discussions in different regions eg south east Asia, south east Asia, China, Africa etc we could do it next weekend.
- Hack-On: A hack-on is happening in the DAO and there would be sponsors for developers and the platform could be GitHub. The hack on will hold after the Auction at December or January.

**Team Updates**

- Incubator Team

Journey Owaa has finished working on the art , including the layers and rare pieces, it has been created,voted and it down to the best pieces.

Nifo’s Perpex is done with the alpha and ready to test, we are on the lookout for testers

Soulbound just finished a new version for the soulbound token smart contract

Afro Piece is contemplating the use of Mid Journey Ai for their nft collection

Matter encouraged all projects to submit proposals as the incubator team is open to accept as many projects but only the best will be picked.
","炉边谈话，2022年11月5日


议程

让我们购买宪法
团队更新

让我们购买宪法。

现在有23本宪法，11本被保存在博物馆，还有2本私人拥有，1本将在12月进行拍卖。我们有第二次机会买下它，我们将制定一个提案，为拍卖筹集资金。我们将在拍卖中采取隐私技术，让对手不知道我们有多少钱，并利用这一点为他们带来好处。

我们可以选择使用。

Aztec网络，这是一个帮助掩盖钱包中的金额的网络，零建议我们使用它来保持我们的拍卖资金的私密性。

OxAA建议我们与Juicebox和Aztec网络合作。我们还将为 ""ConstitutionalDAO的遗产 ""创建一个活动，Matter建议作家团队为一篇关于constitutionalDAO和民主的文章创建一个赏金，文章必须是新鲜的，并包含一些要点。

什么是宪法DAO和人民DAO
什么是美国宪法
宪法DAO造成的势头
核心团队的故事和他们的遗产。

我们还需要找到合作伙伴来获得宪法。马特写了一封信，让我们的合作伙伴签字，这样我们就知道我们的合作对象。AA建议我们使用Ecsign，这样人们可以用他们的钱包签名。Zero还建议使用Monero或Tornado Cash来掩盖我们的资金，以防第一个方案失败。

我们计划使用Nft来筹集资金，Nft将与人民、宪法、尼古拉斯-凯奇和复仇者联盟有关。
宪法的估计价值为3000-2000万美元。我们可以通过接受人们的捐赠，然后在拍卖开始时进行交换，将人们的代币纳入其中。
AA建议在不同地区进行粗略的表格讨论，例如东南亚，东南亚，中国，非洲等，我们可以在下周末进行。
Hack-On。 DAO中正在发生黑客行动，将为开发者提供赞助，平台可能是GitHub。黑客行动将在12月或1月的拍卖会后举行。

团队更新

孵化器团队

旅程Owaa已经完成了艺术工作，包括层和稀有的作品，它已经创建，投票和它下来的最佳作品。

Nifo的Perpex已经完成了alpha版本，可以进行测试，我们正在寻找测试人员。

Soulbound刚刚完成了soulbound代币智能合约的新版本

Afro Piece正在考虑将Mid Journey Ai用于他们的Nft系列。

马特鼓励所有项目提交提案，因为孵化器团队愿意接受尽可能多的项目，但只有最好的才会被选中。"
"Core Proposal PIP2 – Cross-chain Bridges

Author: 0xAA#2040 and Cyrus.s#2441
Proposal Synopsis: Bring $People token cross-chain.
Required Quorum: 250M $PEOPLE 
Vote Duration: 5 days

Proposal Details:
People token is currently only available on Ethereum. The expensive gas fee is too expensive on ETH mainnet, which hinders the massive adoption of people token. Community members want to bring people token to Ethereum Layer 2 solutions and other popular blockchains, such as BSC and Avalanche. The purpose of the proposal is to bring people token cross-chain.
Benefits of cross-chain:
1.	Low gas-fee
2.	Users from other chains can own people token
3.	Diversified ecosystem
We contacted with major cross-chain bridges projects：
-	Multichain (previously anyswap).
-	Celer network

They are glad to collaborate with us and both are very easy to use. The cross-chain bridges support multiple chains including Optimism, Boba network, Arbitrum, Polygon, BSC, Fantom, Avalanche, Fantom, MOVR, OEC, CRO, and more.
If people choose to cross chain, we will ask for partnership with Multichain (previously anyswap), Celer Network, Chainge Finance, and Wormhole Bridge.

We have 2 options to vote for:
Option 1: Let's cross-chain.
Option 2: Do not cross-chain.

For details of cross-chain bridges, please check:
Anyswap Bridge: https://docs.multichain.org/how-it-works
Celer Bridge: https://cbridge-docs.celer.network/



Chinese Version：
People","代币目前仅在以太坊上可用。 但是ETH 主网上的gas 费太贵了，这阻碍了人们去拥有People。 社区成员希望将People代币跨链到以太坊L2解决方案和其他流行的区块链，例如 BSC 和 Avalanche。 该提案的目的是使People代币跨链。
跨链的好处：
1. 低gas费
2. 其他链的用户可以拥有people token
3. 多样化的生态系统
我们联系了最流行的跨链桥项目：
-	Multichain（以前是 anyswap）
-	Celer network
他们很高兴与我们合作，两者都非常易于使用。 跨链桥支持多条链，包括：Optimism、Boba network、Arbitrum、Polygon、BSC、Fantom、Avalanche、Fantom、MOVR、OEC、CRO等。
如果人们选择跨链，我们将与 Multichain（以前的 anyswap）、Celer Network、Chainge Finance 和 Wormhole Bridge 建立合作伙伴关系。

两个投票选项
Option 1: 跨链.
Option 2: 不跨链.
"
"
Core Proposal PIP3: Season 1 Budget
Author: PeopleDAO multisig team
Proposal Synopsis: Approve PeopleDAO Season 1 Budget.
Required Quorum: 250M $PEOPLE
Vote Duration: 5 days

Required Budget: 2,500,000 $PEOPLE

“Seasons” are like mini roadmaps for DAOs and consist of a set of goals establishing a shared vision for members to coordinate around. 

PeopleDAO Season 1: Empower People in Web3 
March-June, 2022
Roadmap:
1) Incentive System for PeopleDAO contributors and donators.
2) PeopleDAO Constitution
3) Incubate at least 3 subDAOs
4) Develop PeopleDAO teams
5) Launch at For The People NFT collection
6) Kick-start at least 5 community-led projects

Earlier this year the community donated to our treasury, putting their faith in the DAO and the core team, that we would invest in social impact and accrue value for $PEOPLE holders everywhere. To realize your mandate, our strategy for spending treasury funds breaks down into the following categories: 
1) High-Growth Spending
2) Cementing Core Processes
3) Developing Key Products
4) Discretionary Reserves
5) Increasing DAO Reputation

Voters should read more about the budget here, including:
1) Budget proposal details: https://peopledao.mirror.xyz/cnijx2ic9sXLE-clOwqvend-zEuamyiHTcHx2evQ5hg 
2) Budget spreadsheet: https://bit.ly/3tl0PbI. 


","中文版本：
核心提案 PIP3：第 1 季预算
作者：PeopleDAO multisig team
提案概要：批准 PeopleDAO 第 1 季预算。
所需法定人数：2.5 亿 $PEOPLE
投票时间：5天

所需预算：2,500,000 $PEOPLE

“季节”就像 DAO 的迷你路线图，由一组目标组成，为成员建立一个共同的愿景，以便围绕它们进行协调。

PeopleDAO 第 1 季：在 Web3 中赋予人们权力
2022 年 3 月至 6 月
路线图：
1) PeopleDAO 贡献者和捐赠者的激励系统。
2) PeopleDAO 宪法
3) 孵化至少 3 个 subDAO
4) 发展 PeopleDAO 团队
5) 发布 For The People NFT 系列
6) 启动至少 5 个社区主导的项目

选民应在此处阅读有关预算的更多信息，包括：
1) 预算提案详情：https://peopledao.mirror.xyz/cnijx2ic9sXLE-clOwqvend-zEuamyiHTcHx2evQ5hg
2) 预算电子表格：https://bit.ly/3tl0PbI。"
"PIP4: Convert assets in PeopleDAO treasury to $PEOPLE token
Core proposal
Author: 0xAA#2040
Reviewer: MatterTurbulent#5161
Required Quorum: 100M $PEOPLE
Vote Duration: 5 days


PeopleDAO supported PandaDAO during its early stages, providing seed funding, talent, and marketing. Following a successful launch, PandaDAO sent ETH and $PANDA back to the PeopleDAO treasury. We propose converting most of the ETH into $PEOPLE token. This action will show our confidence in the $PEOPLE ecosystem and increase our capacity to reward contributors with our native token. 

PIP4 grants the multisig team of PeopleDAO the right to convert up to 80% worth of the non-SubDAO token assets, including ETH and other tokens, to $PEOPLE tokens. The swap can be performed in centralized or decentralized exchanges. The multisig team will choose the option with minimal slippage and fees. 
We will continue holding $PANDA token, deepening the shared interest between metaDAO and subDAO, and exploring yield opportunities.

Choice 1. Yes
Choice 2. No

PIP4：","将 PeopleDAO 国库中的资产转换为 $PEOPLE 代币
核心提案
作者：0xAA#2040
审稿人：MatterTurbulent#5161
所需法定人数：100M $PEOPLE
投票时间：5天


PeopleDAO 在早期支持 PandaDAO，提供种子资金、人才和营销。成功启动后，PandaDAO 将 ETH 和 $PANDA 送回 PeopleDAO 国库。我们建议将大部分 ETH 转换为 $PEOPLE 代币。这一行动将表明我们对 $PEOPLE 生态系统的信心，并提高我们用我们的原生代币奖励贡献者的能力。

PIP4 授予 PeopleDAO 的多重签名团队将价值高达 80% 的非 SubDAO 代币资产（包括 ETH 和其他代币）转换为 $PEOPLE 代币的权利。交换可以在中心化或去中心化交易所中进行。多重签名团队将选择滑点和费用最小的选项。
我们将继续持有 $PANDA 代币，加深 metaDAO 和 subDAO 之间的共同利益，探索收益机会。

选择 1. 同意
选择 2. 不同意"
"PIP5: Convert assets in PeopleDAO treasury to $PEOPLE token
Core proposal
Author: 0xAA#2040
Reviewer: MatterTurbulent#5161
Active Quorum: 100M $PEOPLE (if not exceeds the Quorum, the proposal will need exceeds 90% of the votes to pass)
Vote Duration: 5 days

PeopleDAO supported PandaDAO during its early stages, providing seed funding, talent, and marketing. Following a successful launch, PandaDAO sent ETH and $PANDA back to the PeopleDAO treasury. We propose converting most of the ETH into $PEOPLE token. This action will show our confidence in the $PEOPLE ecosystem and increase our capacity to reward contributors with our native token.

PIP4 grants the multisig team of PeopleDAO the right to convert up to 80% worth of the non-SubDAO token assets, including ETH and other tokens, to $PEOPLE tokens. The swap can be performed in centralized or decentralized exchanges. The multisig team will choose the option with minimal slippage and fees.
We will continue holding $PANDA token, deepening the shared interest between metaDAO and subDAO, and exploring yield opportunities.

Choice 1. Yes
Choice 2. No

PIP4：","将 PeopleDAO 国库中的资产转换为 $PEOPLE 代币
核心提案
作者：0xAA#2040
审稿人：MatterTurbulent#5161
积极法定人数：100M $PEOPLE (如果没达到，需要90%投票同意才能通过提案)
投票时间：5天

PeopleDAO 在早期支持 PandaDAO，提供种子资金、人才和营销。成功启动后，PandaDAO 将 ETH 和 $PANDA 送回 PeopleDAO 国库。我们建议将大部分 ETH 转换为 $PEOPLE 代币。这一行动将表明我们对 $PEOPLE 生态系统的信心，并提高我们用我们的原生代币奖励贡献者的能力。

PIP4 授予 PeopleDAO 的多重签名团队将价值高达 80% 的非 SubDAO 代币资产（包括 ETH 和其他代币）转换为 $PEOPLE 代币的权利。交换可以在中心化或去中心化交易所中进行。多重签名团队将选择滑点和费用最小的选项。
我们将继续持有 $PANDA 代币，加深 metaDAO 和 subDAO 之间的共同利益，探索收益机会。

选择 1. 同意
选择 2. 不同意

"
"PIP13: Formalize and Fund PeopleDAO Incubator Team
Core proposal

Author: MatterTurbulent#5161
Budget Reviewer(s): прыетранкаOG#4845 and pikachu#6696
Required Quorum: 100M $PEOPLE (if vote doesn't reach quorum it will pass if receiving 90% approval or more). 
Vote Duration: 5 days

As far back as our first Twitter Spaces in November, different people expressed different visions for the $PEOPLE token. PeopleDAO achieved consensus to become a platform for realizing these varied ideas, rather than commit to any one direction.

This proposal calls for the official creation of an Incubator Team in PeopleDAO, to organize resources and energy towards supporting and funding projects to further our three-prong mission: advance web3 and social good, and build an ecosystem around the $PEOPLE token.

Throughout June the Incubator Team organized informally, planning and implementing our first ever PeopleDAO Incubator program, set to happen across Q3. As part of these informal activities, we ran elections for a review committee, we reviewed proposals, and we developed the policies and calendar for the Incubator Program. Making the Incubator Team official will allow it to make budget requests.

We hope PeopleDAO constituents and $PEOPLE holders are as excited about the next chapter for the Incubator Program as we are! We urge the community to approve making the Incubator Team official and approve its first budget, which will fund activities during Q3:

Total: 198,000 PEOPLE

Budget Breakdown:
Review and vote on proposals = 12,000 PEOPLE
Reserves to pay four project coordinators = 120,000 PEOPLE
Team lead salary = 15,000 PEOPLE
Discretionary spending = 45,000 PEOPLE
Notetaking = 6,000 PEOPLE

More details here:
https://docs.google.com/spreadsheets/d/19Oxl18z25Pa8pQkN25IqL21qW65icH562cpUNfNLEBA/edit?usp=sharing

Vote YES to make the Incubator Team an official Team at PeopleDAO, and to approve the budget.
Vote NO to reject making the Team official.

","最初在11月的Twitter 音訊空間上，許多人對於$People代幣有著不同的看法，PeopleDAO達成了共識，是去實現這些不同的想法，而不是只著重在一個方向。

此提案要求在PeopleDAO中正是建立一個孵化器團隊，團隊需組織可使用的資源、支持者的能量聚集以及可資助項目，以推進如下三種使命：推行web3、社會公益、並圍繞$People代幣建立生態系統

孵化器團隊在六月草創，計畫並實施了PeopleDAO第一個孵化器計畫，該計畫將會在第三季進行，因為孵化器團隊是非正式建立的，因此我們選出了審查委員會，由審查委員進行審查項目的提案、制定提案政策以及規劃進程，藉此孵化器團隊正式化，並將允許孵化器團隊正式提出預算請求。

我们希望PeopleDAO成员和$PEOPLE持有者，对於孵化器计划的下一章節一起共襄盛舉！因此我們敦促社區批准孵化器團隊正式化後的第一個預算提案，該預算將資助第三季度的活動：

總額：198,000 $PEOPLE

预算明细：
对提案进行审查和投票 = 12,000 人
支付四名项目协调员的储备金 = 120,000 人
团队负责人工资 = 15,000 人
可自由支配的預算 = 45,000 人
記錄者 = 6,000 人

更多细节在这里：
https://docs.google.com/spreadsheets/d/19Oxl18z25Pa8pQkN25IqL21qW65icH562cpUNfNLEBA/edit#gid=581168070

投赞成票，让孵化器团队成为 PeopleDAO 的官方团队，并批准预算。
投否决票以拒绝使团队成为正式成立。

Kể từ khi trở lại Twitter Spaces đầu tiên của chúng tôi vào tháng 11, mỗi người đã bày tỏ tầm nhìn khác nhau đối với token $PEOPLE. PeopleDAO đã đạt được sự đồng thuận để trở thành một nền tảng hiện thực hóa những ý tưởng đa dạng này, thay vì cam kết theo bất kỳ hướng nào.

Đề xuất này kêu gọi việc thành lập chính thức Nhóm Ươm Tạo (Incubator Team) trong PeopleDAO, để tổ chức các nguồn lực, năng lực hướng tới việc hỗ trợ và tài trợ cho các dự án nhằm tiếp tục sứ mệnh về ba trọng tâm của chúng tôi: Phát triển web3, lợi ích xã hội, và đồng thời xây dựng một hệ sinh thái xung quanh token $PEOPLE.

Trong suốt tháng 6, Nhóm Ươm Tạo đã được tổ chức không chính thức, lập kế hoạch và triển khai Chương trình Ươm Tạo PeopleDAO (Incubator Program) đầu tiên của chúng tôi, dự kiến ​​sẽ diễn ra trong Quý 3. Là một phần của các hoạt động không chính thức này, chúng tôi đã tiến hành bầu cử cho một ủy ban đánh giá, xem xét các đề xuất, phát triển các chính sách và lên lịch trình cho Chương trình Ươm Tạo. Việc đưa Nhóm Ươm Tạo trở thành chính thức sẽ cho phép họ đưa ra các yêu cầu về ngân sách.

Chúng tôi rất hào hứng và hy vọng các thành viên của PeopleDAO, những người nắm giữ $PEOPLE cũng hào hứng với chương tiếp theo của Chương trình Ươm Tạo! Chúng tôi kêu gọi cộng đồng chấp thuận việc đưa Nhóm Ươm Tạo thành chính thức và phê duyệt ngân sách đầu tiên của nhóm, ngân sách này sẽ tài trợ cho các hoạt động trong Quý 3:
Tổng cộng: 198,000 $PEOPLE

Chi tiêu ngân sách:
Xem xét và bỏ phiếu cho các đề xuất = 12,000 $PEOPLE
Dự trữ để trả cho bốn điều phối viên dự án = 120,000 $PEOPLE
Lương trưởng nhóm = 15,000 $PEOPLE
Chi tiêu tùy ý = 45,000 $PEOPLE
Công việc ghi chú = 6,000 $PEOPLE

Thông tin chi tiết tại đây:
https://docs.google.com/spreadsheets/d/1Kf4Q7fJ_83PQ6sqHsLRlYwPXVqLXxYjP6p8S5ilj-2o/edit#gid=978763577

Bỏ phiếu CÓ để đưa Nhóm Ươm Tạo trở thành Nhóm chính thức tại PeopleDAO và phê duyệt ngân sách.
Bỏ phiếu KHÔNG để từ chối việc đưa Nhóm trở thành chính thức.
"
"PIP15 - PeopleDAO Season 2 General Expenditure Budget Proposal
Core proposal
Author: Tet#7609
Reviewer: Core Team
Required Quorum: 100M $PEOPLE (if not exceeds the Quorum, the proposal will need to exceeds 90% of the votes to pass)
Vote Duration: 5 days

Required budget for the season: 984,000 $PEOPLE token

Once again, time is upon us for Season 2 of PeopleDAO. “Seasons” are like mini roadmaps for DAOs, and consist of a set of goals in establishing a shared vision and mission for the involved community members within the DAO. Season 2 will run from 1st July 2022 to 30th September 2022. 

For the second season, PeopleDAO aims to achieve the following objectives:

Positioning ourselves as the biggest incubator DAO
$PEOPLE token utility upgrade
Developing For The People NFT collection to raise funds
More to come

The breakdown for the General Expenditure can be viewed in the following Google Sheet: https://docs.google.com/spreadsheets/d/1hMjb9Qc5XjRWk60Pju9mxin6QFIbjraoIHgfx4R1wYw/edit?usp=sharing 

Voting choices:

Choice 1: Approve the budget.

Choice 2: Deny the budget.


","中文版本：
核心提案 PIP15：PeopleDAO 第 2 季通用预算提案
作者：Tet#7609
审核人: 核心团队
所需法定人数：1 亿 $PEOPLE 代币 (如果未超过法定人数，提案需要超过90%的票数才能通过）
投票时间：5天

本季所需预算：969,000 $PEOPLE 代币

PeopleDAO 第 2 季到来了。""季节""就像DAO的迷你路线图，由一系列目标组成，为DAO内参与社区成员建立共同的愿景和使命。第 2 季将于 2022 年 7 月 1 日开始，截至于 2022 年 9 月 30 日。 在第 2 季中，PeopleDAO旨在实现以下目标：

将自己定位为最大的孵化 DAO 
升级 $PEOPLE 代币的应用
For The People NFT 集合筹集资金 
更多即将推出 

支出预算的明细可以在以下Google Sheets中查看：https://docs.google.com/spreadsheets/d/1hMjb9Qc5XjRWk60Pju9mxin6QFIbjraoIHgfx4R1wYw/edit?usp=sharing  

投票选择： 
选项 1：批准预算。 
选项 2：拒绝预算。
"
